level,english,french,russian,ukrainian
1,I love it,Je l`aime,я люблю это,я це люблю
1,I love this place,J`aime beaucoup cet endroit ,мне нравится это место,Я люблю це місце
1,I know it,Je le sais,Я знаю это,я це знаю
1,I see him,Je le vois,я вижу его,Я бачу його
1,I work a lot,Je travaille beaucoup,я много работаю,Я багато працюю
1,I love it a lot,Je l`aime beaucoup,Я очень это люблю,Я люблю це багато
1,He sees two people,Il voit deux personnes,Он видит два человека,Він бачить двох людей
1,I can buy,Je peux l`acheter,я могу купить,Я можу купити
1,I think it's good,Je pense que c`est bien,"Я думаю, что это хорошо","Я думаю, що це добре"
1,I think it's very bad,Je pense que c`est trés mauvais,"Я думаю, что это очень плохо","Я думаю, що це дуже погано"
1,I do it often,Je le fais souvent,Я делаю это часто,Я часто роблю
1,I have a bag,J`ai un sac,У меня есть сумка,У мене є сумка
1,I'm at work,Je suis au travail,я на работе,я на роботі
1,I study at the school,J`etudie à l`école,Я учусь в школе,Я навчаюся в школі
1,I go to school,Je vais à l`école,я хожу в школу,Я ходжу до школи
1,I do not want to go the,Je ne veux pas aller la,Я не хочу идти,Я не хочу йти
1,I can buy later,Je peux l`acheter plus tard,Я могу купить это позже,Я можу купити пізніше
1,He studied and works at the same time,Il étudie et travaille en même temps,Он учится и работает одновременно,Він навчався і працює одночасно
1,I see my progress,Je vois mon progrés,Я вижу свой прогресс,Я бачу свій прогрес
1,I have free time,J`ai du temps libre,у меня есть свободное время,У мене є вільний час
1,He sees a girl,Il voit une fille,Он видит девушку,Він бачить дівчину
1,We see this girl,Nous voyons cette fille,Мы видим эту девушку,Ми бачимо цю дівчину
1,I see you,Je te vois,Я тебя вижу,Я бачу тебе
1,I live in this place,J`habite dans cet endroit,Я живу в этом месте,Я живу в цьому місці
1,I have no time now,Je n`ai pas de temps maintenant,У меня нет времени сейчас,Зараз я не маю часу
1,I am here,Je suis ici,я здесь,я тут
1,We see one man,Nous voyons on homme,Мы видим одного человека,Ми бачимо одну людину
1,They speak French,Ils parlent français,Они говорят по-французски,Вони говорять французькою
1,I see it very well,Je le vois très bien,Я вижу это очень хорошо,Я бачу це дуже добре
1,I pay for that,Je paye pour ça,Я плачу за это,Я плачу за це
1,I pay for my education,Je paye mes étudies,Я плачу за свое обучение,Я плачу за свою освіту
1,I understand this woman,Je comprends cette femme,Я понимаю эту женщину,Я розумію цю жінку
1,I go to the park when I have time,Je vais au parc quand j'ai du temps,Я хожу в парк когда у меня есть время,"Я йду до парку, коли у мене є час"
1,Can I help you,Je peux vous aider,Я могу вам помочь,Чи можу я допомогти вам
1,I think I can help you,Je pense que je peux t'aider,"Я думаю, что могу помочь вам","Я думаю, що я можу вам допомогти"
1,I learn French here with great pleasure,Je apprends le français ici avec grand plaisir,Я учусь по-французски здесь с большим удовольствием,Я вивчаю французьку тут з великим задоволенням
1,I would like to do it next year,J`aimerais le faire l'année prochaine,Я хотел бы сделать это в следующем году,Я хотів би зробити це наступного року
1,I want to visit new countries and cities,Je veux visiter de nouveaux pays et villes,Я хочу посетить новые страны и города,Я хочу відвідати нові країни та міста
1,I do not see you,Je ne te vois pas,я тебя не вижу,Я не бачу тебе
1,I want to listen to it,Je veux l'écouter,Я хочу слушать это,Я хочу слухати його
1,I see it very well,Je le vois très bien,Я вижу это очень хорошо,Я бачу це дуже добре
1,I often tell these things,Je dis souvent ces choses,Я часто рассказываю эти вещи,Я часто говорю це
1,She ends this work,Elle finit ce travail,Она заканчивает эту работу,Вона закінчує цю роботу
1,We speak Russian,Nous parlons russe,Мы говорим по-русски,Ми розмовляємо російською
1,I want to visit Paris,Je veux visiter Paris,Я хочу посетить Париж,Я хочу відвідати Париж
1,I want to go to the United States,Je veux aller aux États-Unis,Я хочу пойти в Соединенные Штаты,Я хочу поїхати до Сполучених Штатів
1,Do you study or do you work?,Étudiez-vous ou travaillez-vous?,Вы учитесь или работаете?,Ви вчитеся або ви працюєте?
1,Do you study?,Étudies-tu?,Ты учишься?,Ти навчаешся?
1,I want to go to the United States next year,Je veux aller aux États-Unis l'année prochaine,Я хочу пойти в Соединенные Штаты в следующем году,Я хочу поїхати до Сполучених Штатів наступного року
1,Do you want to go to the park now?,Veux-tu aller au parc maintenant?,Вы хотите пойти в парк сейчас?,Хочете поїхати до парку зараз?
1,I am very busy now,Je suis trés occupé maintenant,я сейчас очень занята,Зараз я дуже зайнятий
1,I want to visit France this year,Je veux visite la France cette année,Я хочу посетить Францию ​​в этом году,Я хочу відвідати Францію цього року
1,Are you studying?,Étudiez-vous?,Ты учишься?,Ти вчишся?
1,I think it really helps me,Je pense que ça m'aide vraiment,"Я думаю, что это действительно помогает мне","Я думаю, що це дійсно допомагає мені"
1,I call Elen,Je m`appelle Elen,Я звоню в Элен,Я називаю Елен
1,I want to go to England,Je veux aller en Angleterre,Я хочу поехать в Англию,Я хочу поїхати до Англії
1,She reads French books,Elle lit des livres français,Она читает французские книги,Вона читає французькі книги
1,I know this language better,Je connais cette langue mieux,Я знаю этот язык лучше,Я знаю цю мову краще
1,He sees a girl,Il voit un fille,Он видит девушку,Він бачить дівчину
1,I understand you,Je te comprends,Я понимаю тебя,я вас розумію
1,it helps me a lot,ça m'aide beaucoup,Это мне очень помогает,це допомагає мені багато
1,He listens to music,Il écoute la musique,Он слушает музыку,Він слухає музику
1,A pretty blonde girl with big blue eyes,Une jolie fille blonde avec de grands yeux bleus,Довольно блондинка с большими голубыми глазами,Красива блондинка з великими синіми очима
1,She is eleven years old,Elle a onze ans,Ей одиннадцать лет,Їй одинадцять років
1,She has two brothers,Elle a deux frères,У нее два брата,Вона має двох братів
1,She lives alone with her three children,Elle vit seule avec ses trois enfants,Она живет одна с ее тремя детьми,Вона живе поодинці з її трьома дітьми
1,Always together,Toujours ensemble,Всегда вместе,Завжди разом
1,She has white skin like snow,Elle a la peau blanche comme la neige,"У нее белая кожа, как снег","Вона має білу шкіру, як сніг"
1,She has skin skin coffee.,Elle a la peau couleur café.,У нее кожа кожи кофе.,Вона має шкіру шкіри кави.
1,"His mother is Brazilian, his French father","Sa mère est brésilienne, son père français","Его мать бразильская, его французский отец","Його мати є бразильським, його французьким батьком"
1,"She often does homework with her, at school","Elle fait souvent les devoirs avec elle, à l’école","Она часто делает домашнее задание с ней, в школе","Вона часто робить домашню роботу з нею, у школі"
1,"But today, boy is sad","Mais aujourd’hui, garcon est triste",Но сегодня мальчик грустно,Але сьогодні хлопчик сумний
1,Last letter for my father,dernière lettre pour mon pere,Последнее письмо для моего отца,Останній лист для мого батька
1,I know you can not come,Je sais que tu ne peux pas venir,"Я знаю, что вы не можете прийти","Я знаю, що ви не можете прийти"
1,I understand a lot of things now,"Je comprends beaucoup de choses, maintenant",Теперь я понимаю много вещей сейчас,Я зараз розумію багато речей
1,She does not have her real dad next to her,elle n’a pas son vrai papa à côté d’elle,У нее нет своего настоящего папы рядом с ней,Вона не має свого реального тата поруч з нею
1,She finds this beautiful music,elle trouve cette musique magnifique,Она находит эту прекрасную музыку,Вона знаходить цю прекрасну музику
1,I have comrades who have the same problem as me,J’ai des camarades qui ont le même problème que moi,"У меня есть товарищи, у которых такая же проблема, как я","Я маю товариші, які мають таку ж проблему, як я"
1,I want to talk properly,Je veux parler correctement,Я хочу говорить правильно,Я хочу поговорити належним чином
1,I want to listen to music,Je veux ecouter la musique,Я хочу слушать музыку,Я хочу слухати музику
1,They are playing tennis,Ils jouent au tennis,Они играют в теннис,Вони грають у теніс
1,He ends his duty,Il finit ses devoir,Он заканчивает свою домашнюю работу,Він закінчує свій обов'язок
1,I do not see it,Je ne le vois pas,Я это не вижу,Я не бачу
1,I do not have time,Je n'ai pas de temps,У меня нет времени,я не встигаю
1,I love travelling,J'aime beaucoup voyager,Я очень люблю путешевствовать,Я люблю подорожувати
1,I am listening to music,J'ecoute la musique,Я слушаю музыку,я слухаю музику
1,They buy it gently in this shop,Ils l'achètent géneralément dans cette boutique,Они покупают в этом магазине в основном,Вони купують його м'яко в цьому магазині
1,I learning English when I have free time,J'apprends l'anglais quand j'ai du temps libre,Я учу английский когда у меня есть свободное время,"Я вивчаю англійську мову, коли у мене є вільний час"
1,I learn French here with great pleasure,J'apprends le français ici avec grand plaisir ,Я учу французский здесь с огромным удовольсвтием ,Я вивчаю французьку тут з великим задоволенням
1,Do you want to go there?,Veux-tu aller la?,Ты хочешь туда пойти?,Ви хочете поїхати туди?
1,I want to speak French fluently and correctly,Je veux parler francais couramment et correctement,Я хочу говорить на французском свободно и правильно,Я хочу вільно говорити французькою та правильно
1,I see a house,Je vois une maison,Я вижу дом,Я бачу будинок
1,This ball costs less,Ce bille coûte moins cher,Этот билет стоит дешевле,Цей м'яч коштує менше
1,I communicate with different people who live in other countries,Je communique avec différentes personnes qui vivent dans d'autres pays,Я общаюсь с разными людьми которые живут в других странах,"Я спілкуюся з різними людьми, які живуть в інших країнах"
1,He works little,Il travaille peu,Он мало путешевствует,Він мало працює
1,I speak two foreign languages,Je parle deux langue étrangeres,Я говорю на двух иностранных языках,Я розмовляю двома іноземними мовами
1,I'm at home,Je suis à la maison,Я дома,я вдома
1,I do not know what to do in this situation,Je ne sais pas quoi faire dans cette situation,Я не знаю что делать в этой ситуации,"Я не знаю, що робити в цій ситуації"
1,I think it's bad,Je pense que c'est mauvais,Я думаю что это плохо,"Я думаю, що це погано"
1,I'm here,Ju suis ici,Я тут,я тут
1,I learn French when I have time,J'apprends le français quand j'ai du temps,Я учу французский когда у меня есть время,"Я вивчаю французьку, коли у мене є час"
1,We sleep little,Nous dormons peu,Мы мало спим,Ми трохи спимо
